ST_CASE,MONTH,DAY,HOUR
10579,8,27,12
10580,8,28,1
10581,9,16,4
10582,8,29,5
10583,8,28,7
10584,8,29,15
10585,8,29,17
10586,8,30,18
10587,8,30,12
10588,8,30,11
10589,8,30,1
10590,8,31,10
10591,8,31,15
10592,8,31,13
10593,8,31,19
10594,9,1,11
10595,9,2,17
10596,9,3,14
10597,9,3,22
10598,9,3,4
10599,9,4,6
10600,9,3,0
10601,10,31,5
10602,10,13,17
10603,9,3,8
10604,9,2,13
10605,9,1,9
10606,9,4,1
10607,9,4,19
10608,9,4,2
10609,9,5,2
10610,9,5,2
10611,9,5,20
10612,9,5,5
10613,9,6,14
10614,9,6,9
10615,9,6,11
10616,9,6,8
10617,9,7,2
10618,9,7,13
10619,9,9,7
10620,9,9,16
10621,9,10,18
10622,9,10,16
10623,9,10,21
10624,9,11,7
10625,9,11,1
10626,9,11,19
10627,9,11,14
10628,9,12,11
10629,9,13,12
10630,9,14,16
10631,9,15,23
10632,9,15,6
10633,9,15,21
10634,9,16,6
10635,9,16,18
10636,9,17,20
10637,9,17,14
10638,9,17,19
10639,9,17,22
10640,9,17,9
10641,9,18,1
10642,9,18,8
10643,9,18,15
10644,9,18,5
10645,9,18,16
10646,9,19,23
10647,9,19,2
10648,9,19,16
10649,9,20,14
10650,9,20,17
10651,9,20,17
10652,9,21,11
10653,9,21,99
10654,9,21,11
10655,9,22,11
10656,9,22,14
10657,9,23,15
10658,9,24,18
10659,9,24,3
10660,9,24,14
10661,9,25,2
10662,9,25,6
10663,9,26,4
10664,9,21,17
10665,9,26,5
10666,9,26,16
10667,9,28,15
10668,9,29,4
10669,9,29,17
10670,9,23,10
10671,9,29,7
10672,9,30,22
10673,10,2,0
10674,10,2,21
10675,9,23,5
10676,10,2,0
10677,10,2,16
10678,10,3,14
10679,10,3,23
10680,10,4,8
10681,10,4,13
10682,10,5,5
10683,10,5,4
10684,10,4,11
10685,10,5,5
10686,10,5,5
10687,10,5,21
10688,10,6,21
10689,10,6,11
10690,10,7,17
10691,10,7,17
10692,10,9,18
10693,10,7,19
10694,10,8,6
10695,10,10,20
10696,10,10,16
10697,10,11,18
10698,10,11,4
10699,10,12,13
10700,10,12,23
10702,10,13,5
10703,10,15,3
10704,10,14,13
10705,10,15,23
10706,10,15,16
10707,10,15,23
10708,10,16,11
10709,11,10,21
10710,10,27,14
10711,10,27,21
10712,10,27,19
10713,10,27,21
10714,10,28,19
10715,10,28,15
10716,10,28,19
10717,10,28,13
10718,10,28,21
10719,10,28,3
10720,10,29,19
10721,10,29,18
10722,10,30,7
10723,10,30,13
10724,10,31,9
10725,4,22,10
10726,10,13,9
10727,10,16,0
10728,10,17,16
10729,10,18,14
10730,10,19,5
10731,10,19,15
10732,10,19,0
10733,10,19,15
10734,10,20,14
